,Course,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,F
0,301,2,3,3,5,4,14,12,18,9,10,15,5
1,484,0,3,2,5,10,5,16,23,10,7,12,7
2,471,3,1,8,8,7,11,10,13,14,8,11,6
3,223p,0,0,0,6,7,14,10,18,12,6,19,8
4,476,1,3,7,3,10,9,14,12,6,11,14,10
5,223H,3,1,3,3,9,11,10,12,13,11,13,11
6,439,0,2,2,5,13,10,14,22,11,6,10,5
7,463,1,0,3,0,9,13,7,17,9,13,19,9
8,311,0,2,0,5,13,8,15,21,9,10,15,2
9,473,1,2,7,0,9,12,5,15,13,5,22,9
10,452,0,1,1,4,7,11,10,13,17,7,21,8
11,223C,3,3,1,5,14,14,9,14,12,6,12,7
12,499,0,3,5,4,8,6,15,15,13,10,13,8
13,351,3,4,5,2,7,7,16,17,8,7,14,10
14,481,1,1,4,4,7,10,15,19,8,8,18,5
15,313,3,3,1,8,10,10,14,17,15,5,10,4
16,332,1,1,6,4,12,15,8,11,8,10,17,7
17,486,0,1,3,8,6,9,10,14,11,19,14,5
18,489,1,3,3,6,14,10,7,15,7,15,13,6
19,431,1,5,3,4,14,6,14,14,15,2,13,9
20,223J,3,4,4,3,9,11,6,20,10,7,18,5
21,454,2,2,1,5,9,11,11,8,11,12,17,11
22,323,0,1,3,6,12,8,8,15,13,10,15,9
23,120,0,2,7,3,12,10,8,15,9,10,21,3
24,386,1,2,4,2,6,15,8,21,8,12,12,9
25,254,3,0,3,5,14,8,4,17,11,11,16,8
26,240,0,3,4,5,7,11,9,14,7,10,28,2
27,483,2,3,4,3,6,7,10,18,20,9,15,3
28,485,0,1,3,7,12,10,11,8,12,10,19,7
29,477,2,2,1,6,15,9,13,9,10,12,10,11
30,495,2,3,4,6,10,7,8,16,6,18,13,7
31,464,0,1,2,6,8,7,11,18,15,5,15,12
32,121,5,2,5,4,4,10,11,20,14,6,14,5
33,456,1,3,3,2,13,7,19,12,15,6,13,6
34,362,0,3,2,8,12,9,13,12,11,7,17,6
35,491T,2,2,1,5,4,7,12,17,11,12,21,6
36,131,2,1,3,4,6,14,10,15,10,12,17,6
37,440,1,2,2,0,15,10,11,19,14,11,10,5
38,335,2,2,7,3,7,13,10,13,14,10,13,6
39,353,2,2,2,7,7,15,7,19,12,8,12,7
40,223N,0,4,2,3,12,15,13,13,10,10,13,5
41,462,4,1,4,8,8,17,13,11,11,2,15,6
42,315,2,2,1,4,11,11,11,9,20,10,12,7
43,466,1,0,6,3,10,13,14,13,12,10,13,5
44,322L,1,2,1,9,8,10,10,16,10,5,20,8
